,0
0,2138.0
1,433.0
2,392.0
3,431.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,31231.0
11,60240.0
12,61317.0
13,22484.0
14,74409.0
15,21920.0
16,40941.0
17,64847.0
18,54529.0
19,22777.0
20,59425.0
21,45822.0
22,45318.0
23,69754.0
24,59283.0
25,21913.0
26,41569.0
27,52652.0
28,45361.0
29,61110.0
30,49962.0
31,24724.0
32,20019.0
33,60979.0
34,27535.0
35,42794.0
36,64058.0
37,44257.0
38,74961.0
39,23604.0
40,47096.0
41,69040.0
42,72603.0
43,45410.0
44,72216.0
45,45553.0
46,47324.0
47,64510.0
48,70669.0
49,49638.0
50,54699.0
51,59213.0
52,49017.0
53,61830.0
54,65695.0
55,45140.0
56,28364.0
57,75371.0
58,16550.0
59,38551.0
60,66983.0
61,43725.0
62,73210.0
63,21729.0
64,30503.0
65,46312.0
66,79968.0
67,69555.0
68,80603.0
69,43176.0
70,46240.0
71,75311.0
72,87156.0
73,68093.0
74,59074.0
75,65433.0
76,49052.0
77,54958.0
78,70145.0
79,62468.0
80,27657.0
81,76160.0
82,13468.0
83,16542.0
84,86305.0
85,57973.0
86,63859.0
87,35431.0
88,15183.0
89,14723.0
90,75091.0
91,66796.0
92,56522.0
93,38812.0
94,26069.0
95,25023.0
96,86294.0
97,83894.0
98,60841.0
99,53715.0
100,37720.0
101,19909.0
102,60757.0
103,69882.0
104,29417.0
105,71189.0
106,24308.0
107,41674.0
108,64316.0
109,29128.0
110,61697.0
111,30757.0
112,42733.0
113,60062.0
114,65648.0
115,34178.0
116,50617.0
117,45076.0
118,40166.0
119,58494.0
120,64033.0
121,36809.0
122,34473.0
123,53970.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,16437.0
131,26491.0
132,64193.0
133,36513.0
134,62966.0
135,19959.0
136,39093.0
137,49501.0
138,83053.0
139,55086.0
140,54955.0
141,42574.0
142,36501.0
143,45133.0
144,72633.0
145,54547.0
146,44427.0
147,54255.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,12872.0
155,11954.0
156,64916.0
157,39651.0
158,44114.0
159,19979.0
160,11472.0
161,16193.0
162,79086.0
163,57226.0
164,46332.0
165,27412.0
166,22543.0
167,30647.0
168,81320.0
169,58821.0
170,40128.0
171,51692.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,13109.0
203,30329.0
204,48663.0
205,10466.0
206,38618.0
207,14601.0
208,19038.0
209,38329.0
210,56450.0
211,13973.0
212,46252.0
213,22166.0
214,35602.0
215,51558.0
216,53547.0
217,16072.0
218,30968.0
219,44153.0
220,39215.0
221,45517.0
222,52109.0
223,12253.0
224,18217.0
225,47145.0
226,11806.0
227,22227.0
228,53306.0
229,19595.0
230,41015.0
231,16002.0
232,16690.0
233,26756.0
234,62311.0
235,26622.0
236,47822.0
237,19737.0
238,29295.0
239,36561.0
240,70938.0
241,40118.0
242,37311.0
243,42586.0
244,35035.0
245,41595.0
246,68019.0
247,36759.0
248,21165.0
249,52295.0
250,9422.0
251,11973.0
252,53437.0
253,47476.0
254,43248.0
255,13407.0
256,9855.0
257,11617.0
258,60087.0
259,33113.0
260,34339.0
261,16834.0
262,12084.0
263,14946.0
264,67107.0
265,41962.0
266,31584.0
267,27439.0
268,28417.0
269,29623.0
270,71137.0
271,51522.0
272,26974.0
273,42731.0
274,5635.0
275,5266.0
276,52478.0
277,34224.0
278,24433.0
279,13995.0
280,3931.0
281,3465.0
282,44235.0
283,37232.0
284,19173.0
285,14185.0
286,4127.0
287,3097.0
288,50387.0
289,35079.0
290,19635.0
291,14389.0
292,18191.0
293,12156.0
294,54951.0
295,45121.0
296,16210.0
297,26900.0
298,9024.0
299,17031.0
300,44355.0
301,9554.0
302,31233.0
303,13025.0
304,25321.0
305,30351.0
306,62949.0
307,21229.0
308,36698.0
309,17693.0
310,85484.0
311,38871.0
312,60321.0
313,24945.0
314,28593.0
315,39676.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,6473.0
323,11504.0
324,47665.0
325,16446.0
326,27968.0
327,14339.0
328,7483.0
